N,Run1,Run2,Run3,Run4,Run5,Average
1,123.638,114.674,145.506,131.681,125.399,128.18
2,89.637,90.581,98.389,95.373,97.478,94.2916
4,73.935,92.035,88.216,84.642,86.871,85.1398
8,73.389,73.581,75.009,82.519,74.524,75.8044
16,71.916,80.159,62.673,68.681,76.486,71.983
32,79.007,58.474,67.002,83.101,65.268,70.5704
64,74.081,69.980,64.102,72.484,68.934,69.9162
128,67.223,74.977,62.985,69.813,71.089,69.2174
256,62.835,73.859,59.356,64.765,65.016,65.1662
512,69.754,61.473,67.649,72.061,64.474,67.0822
1024,77.506,77.099,76.137,78.137,67.944,75.3646
