p,Run1,Run2,Run3,Run4,Run5,Average
0.01,18.400,14.661,16.779,13.264,14.183,15.4574
0.02,30.308,28.715,27.807,31.737,27.532,29.2198
0.03,42.315,39.561,44.487,51.538,42.105,44.0012
0.04,55.692,52.325,63.240,63.751,63.592,59.72
0.05,65.702,86.718,58.393,77.825,74.479,72.6234
0.06,85.285,96.711,86.845,88.047,91.188,89.6152
0.07,108.788,104.322,94.565,126.555,107.685,108.383
0.08,144.180,110.782,114.864,124.623,135.227,125.935
0.09,143.597,135.360,133.475,135.766,144.512,138.542
0.10,151.175,147.045,160.408,136.447,146.115,148.238
